word	definition
terto	x₁ (Entity) is a trillion [10^12] in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
tigni	x₁ (Entity) performs performance x₂ (nu, Event) for or before audience x₃ (Entity or Group<Entity>)
tikpa	x₁ (Entity) kicks or hits with x₁'s foot or feet x₄ (Entity) object or target x₂ (Entity) at locus x₃ (Entity)
tilju	x₁ (Entity) is heavy or weighty in mass or weight by standard x₂ (si'o, Standard)
tinbe	x₁ (Entity) obeys or follows command or rule x₂ (Entity) made by x₃ (Entity)
tinci	x₁ (Entity) is a quantity of or contains or is made of tin of composition including x₂ (Entity)
tinsa	x₁ (Entity) is stiff or rigid or inflexible or resistant in direction x₂ (Entity) against force x₃ (Entity) under conditions x₄ (nu, Event or State)
tirna	x₁ (Entity) hears sound x₂ (Sound or Entity) against background or noise x₃ (Entity)
tirse	x₁ (Entity) is a quantity of or contains or is made of iron of composition including x₂ (Entity)
tirxu	x₁ (Organism) is a tiger or leopard or jaguar or tigress of species or breed x₂ (Taxon) with coat markings x₃ (ka, Property of x₁)
tisna	x₁ (Entity) fills or becomes stuffed or inflates or blows up with material x₂ (Entity); x₂ pours into x₁
titla	x₁ (Entity) is sweet or sugary or saccharine to observer x₂ (Entity)
tivni	x₁ (Entity) broadcasts or televises programming x₂ (Entity or nu, Event) via medium or channel x₃ (Entity) to television receiver x₄ (Entity)
tixnu	x₁ (Organism) is a daughter of mother or father or parents x₂ (Organism or Group<Organism>)
toknu	x₁ (Entity) is an oven enclosing contents x₂ (Entity) for baking or heating or drying
toldi	x₁ (Organism) is a butterfly or moth of species or breed x₂ (Taxon)
tonga	x₁ (Sound) is a tone or note of frequency or pitch x₂ (Number) from source x₃ (Entity)
tordu	x₁ (Entity) is short in dimension or direction x₂ (ka, Property of x₁) by measurement standard x₃ (si'o, Standard)
torni	x₁ (Entity) twists under load or force or torsion x₂ (Entity)
traji	T: Entity. x₁ (T) is superlative in property x₂ (ka, Property of x₁), at extreme x₃ (ka, Property of x₁) among set or range x₄ (Set<T>)
trano	x₁ (Entity) is a quantity of or contains or is made of nitrogen or ammonia or nitrates
trati	x₁ (Entity) is taut or tense or strained tight in direction x₂ (Entity)
trene	x₁ (Entity) is a train or vehicle x₁ consisting of cars or units x₂ (Group<Entity>) on rails or system or railroad x₃ (Entity) propelled by x₄ (Entity)
tricu	x₁ (Organism) is a tree of species or cultivar x₂ (Taxon)
trina	x₁ (Entity) attracts or appeals to or lures x₂ (Entity or nu, Event) with property or quality x₃ (ka, Property of x₂)
trixe	x₁ (Entity) is posterior or behind or in the rear of x₂ (Entity) which faces in frame of reference x₃ (Entity)
troci	x₁ (Entity) tries or attempts or makes an effort to do or attain x₂ (ka, Property of x₁) by actions or method x₃ (ka, Property of x₁)
tsali	x₁ (Entity) is strong or powerful or tough in property or quality x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
tsani	x₁ (Entity) is an expanse of sky or the heavens at place x₂ (Location)
tsapi	x₁ (Entity) is a seasoning or condiment or spice causing flavor or effect x₂ (ka, Property of x₁)
tsiju	x₁ (Entity) is a seed or spore body-part x₁ of organism x₂ (Organism) for producing offspring x₃ (Organism or Group<Organism>)
tsina	x₁ (Entity) is a stage or platform or dais or scaffold at or in location x₂ (Location) supporting x₃ (Entity or nu, Event) made of material x₄ (Entity)
tubnu	x₁ (Entity) is a length of tubing or pipe or hollow cylinder of material x₂ (Entity) with hollow of material x₃ (Entity)
tugni	x₁ (Entity) agrees with persons or position or side x₂ (Entity or Text) that x₃ (du'u, Proposition) is true about matter x₄ (Entity or nu, Event)
tujli	x₁ (Entity) is a tulip of species or strain x₂ (Taxon)
tumla	x₁ (Location) is a parcel or expanse of land at location x₂ (Location)
tunba	x₁ (Entity) is a sibling of x₂ (Entity) by bond or tie or standard or parents x₃ (Entity)
tunka	x₁ (Entity) is made of or contains or is a quantity of copper of composition including x₂ (Entity)
tunlo	x₁ (Entity) gulps or swallows substance x₂ (Entity)
tunta	x₁ (Entity) pokes or jabs or stabs or prods x₂ (Entity) with object x₁ (Entity) usually pointed
tuple	x₁ (Entity) is a leg body-part of x₂ (Organism)
turni	x₁ (Entity) governs or rules people or territory or domain or subjects x₂ (Entity or Group<Entity>)
tutci	x₁ (Entity) is a tool or utensil or resource or instrument or implement used for doing x₂ (nu, Event or Process)
tutra	x₁ (Location) is territory or domain or space of or belonging to or controlled by x₂ (Entity)
vacri	x₁ (Entity) is a quantity of air or normally gaseous atmosphere of planet x₂ (Entity) of composition including x₃ (Entity)
vajni	x₁ (ka, Property of x₂) is the important or significant value or worth of x₂ (Entity or Abstraction) to x₃ (Entity) in aspect or for reason x₄ (ka, Relation<x₁, x₃>)
valsi	x₁ (Text) is a word meaning or causing x₂ (Entity or Abstraction) in language x₃ (Language)
vamji	x₁ (ka, Property of x₂) is the equivalent value or worth of item x₂ (ka, Property of x₃) to x₃ (Entity) for use or appreciation x₄ (ka, Property of x₃)
vamtu	x₁ (Organism) vomits or regurgitates x₂ (Entity)
vanbi	x₁ (Entity or Set<Entity>) is part of an environment or surroundings or context or ambience of x₂ (Entity)
vanci	x₁ (TimeInterval) is an evening of day x₂ (TimeInterval) at location x₃ (Location)
vanju	x₁ (Entity) is made of or contains or is a quantity of wine from fruit or grapes x₂ (Taxon or Entity)
vasru	x₁ (Entity) contains or holds or encloses or includes contents x₂ (Entity) within
vasxu	x₁ (Organism) breathes or respires gas x₂ (Entity)
vecnu	x₁ (Entity) sells or vends goods or service or commodity x₂ (ka, Property of x₁) to buyer x₃ (Entity) for amount or cost or expense x₄ (ka, Property of x₂)
venfu	x₁ (Entity) takes revenge on or retaliates against x₂ (Entity) for wrong x₃ (nu, Event) with vengeance x₄ (nu, Event)
vensa	x₁ (TimeInterval) is spring or springtime of year x₂ (TimeInterval) at location x₃ (Location)
verba	x₁ (Organism) is a child or kid or juvenile of age x₂ (TimeInterval) immature by standard x₃ (si'o, Standard)
vibna	x₁ (Entity) is a vagina body-part of x₂ (Organism)
vidni	x₁ (Entity) is a video monitor or CRT or screen serving function x₂ (ka, Property of x₁)
vidru	x₁ (Organism) is a virus of species or breed or defining property x₂ (Taxon or ka, Property of x₁) capable of infecting at locus x₃ (Entity)
vifne	x₁ (Entity) is fresh or unspoiled
vikmi	x₁ (Organism) excretes waste x₂ (Entity) from source x₃ (Entity) via means or route x₄ (Entity)
viknu	x₁ (Entity) is thick or viscous under conditions x₂ (nu, State)
vimcu	x₁ (Entity) removes or subtracts or deducts or takes away x₂ (Entity) from x₃ (Entity) with or leaving result or remnant or remainder x₄ (Entity)
vindu	x₁ (Entity) is poisonous or venomous or toxic or a toxin to x₂ (Entity)
vinji	x₁ (Entity) is an airplane or aircraft for carrying passengers or cargo x₂ (Entity or Group<Entity>) propelled by x₃ (Entity)
vipsi	x₁ (Entity) is a deputy or vice or subordinate in aspect or organization principle x₂ (ka, Relation<x₁, x₃>) to principal x₃ (Entity)
virnu	x₁ (Entity) is brave or valiant or courageous in activity x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
viska	x₁ (Entity) sees or views or perceives visually x₂ (Entity) under conditions x₃ (Entity)
vitci	x₁ (Entity) is irregular or occasional or intermittent in property or action or aspect x₂ (ka, Property of x₁)
vitke	x₁ (Entity) is a guest or visitor of x₂ (Entity) at place or event x₃ (Location or nu, Event)
vitno	x₁ (Entity) is permanent or lasting or eternal in property x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
vlagi	x₁ (Entity) is a vulva body-part of x₂ (Organism)
vlile	x₁ (nu, Event or State) is an event or state or act of violence
vlina	x₁ (Entity) is a logical alternation or disjunction stating that x₂ (du'u, Proposition) and or x₃ (du'u, Proposition) is or are true
vlipa	x₁ (Entity) has the power to bring about x₂ (nu, Event) under conditions x₃ (nu, Event or State)
vofli	x₁ (Entity) flies in air or atmosphere using lifting or propulsion means x₂ (Entity)
voksa	x₁ (Sound) is a voice or speech sound of individual x₂ (Entity)
vorme	x₁ (Entity) is a doorway or gateway or access way between x₂ (Location) and x₃ (Location) of structure x₄ (Entity)
vraga	x₁ (Entity) is a lever tool of apparatus for doing function or action x₂ (nu, Event) with fulcrum x₃ (Entity) and arm x₄ (Entity)
vreji	x₁ (Entity) is a record of data or facts or proposition x₂ (du'u, Proposition) about object or event x₃ (Entity or nu, Event) preserved in medium x₄ (Entity)
vreta	x₁ (Entity) lies or rests or reclines or reposes on x₂ (Entity)
vrici	x₁ (Set<Entity>) is miscellaneous or various or assorted in property x₂ (ka, Property of each member of x₂)
vrude	x₁ (Entity or nu, Event) is virtuous or saintly or fine or moral or nice or holy or morally good by standard x₂ (si'o, Standard)
vrusi	x₁ (ka, Property of x₂) is a taste or flavor of or emitted by x₂ (Entity)
vukro	x₁ (Entity) reflects Ukrainian language or culture or nationality in aspect x₂ (ka, Property of x₁)
xabju	x₁ (Organism or Entity) dwells or lives or resides or abides at or inhabits or is a resident of location or habitat or nest or home or abode x₂ (Location)
xadba	x₁ (Entity) is exactly or approximately half or semi or demi or hemi of x₂ (Entity) by standard x₃ (si'o, Standard)
xadni	x₁ (Entity) is a body or corpus or corpse of x₂ (Entity)
xagji	x₁ (Organism) hungers for x₂ (Entity); x₁ needs or wants food or fuel x₂
xagri	x₁ (Entity) is a reed musical instrument or oboe or clarinet or saxophone with reed x₂ (Entity)
xajmi	x₁ (Entity) is funny or comical to x₂ (Entity) in property or aspect x₃ (ka, Property of x₁)
xaksu	x₁ (nu, Event) uses up or depletes or consumes or wastes resource x₂ (Entity)
xalbo	x₁ (Entity) uses levity or is non-serious or frivolous about abstraction x₂ (Abstraction)
xalka	x₁ (Entity) is a quantity of or contains or is made of alcohol of type x₂ (Entity) from source or process x₃ (nu, Event)
xalni	x₁ (Person) is panicked by crisis x₂ (nu, Event or State)
xamgu	x₁ (Entity or nu, Event) is good or beneficial or nice or acceptable for x₂ (Entity) by standard x₃ (si'o, Standard)
xampo	x₁ (Number) is x₂ (Number) amperes in current by standard x₃ (si'o, Standard)
xamsi	x₁ (Location) is a sea or ocean or gulf or atmosphere of planet x₂ (Entity) of fluid x₃ (Entity)
xance	x₁ (Entity) is a hand body-part of x₂ (Organism)
xanka	x₁ (Entity) is nervous or anxious about abstraction x₂ (Abstraction) under conditions x₃ (nu, Event or State)
xanri	x₁ (Abstraction) exists in the imagination of or is imagined by or is imaginary to x₂ (Entity)
xanto	x₁ (Organism) is an elephant of species or breed x₂ (Taxon)
xarci	x₁ (Entity) is a weapon or arms for use against x₂ (Entity) by x₃ (Entity)
xarju	x₁ (Organism) is a pig or hog or swine or boar of species or breed x₂ (Taxon)
xarnu	x₁ (Entity) is stubborn or willfully opposing or resisting x₂ (Entity or Abstraction) about x₃ (nu, Event or State)
xasli	x₁ (Organism) is a donkey or jackass of species or breed x₂ (Taxon)
xasne	x₁ (Entity) is sweat or perspiration from body x₂ (Organism) excreted by glands or organs x₃ (Entity)
xatra	x₁ (Entity) is a letter or missive or note to intended audience x₂ (Entity) from author or originator x₃ (Entity) with content x₄ (Text)
xatsi	x₁ (Entity) is 10^-18 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
xazdo	x₁ (Entity) reflects Asiatic culture or nationality or geography in aspect x₂ (ka, Property of x₁)
xebni	x₁ (Entity) hates or despises x₂ (Entity or Abstraction)
xebro	x₁ (Entity) reflects Hebrew or Jewish or Israeli culture or nationality or language in aspect x₂ (ka, Property of x₁)
xecto	x₁ (Entity) is 100 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
xedja	x₁ (Entity) is a jaw body-part of x₂ (Organism)
xekri	x₁ (Entity) is black or extremely dark-colored
xelso	x₁ (Entity) reflects Greek or Hellenic culture or nationality or language in aspect x₂ (ka, Property of x₁)
xendo	x₁ (Person) is kind to x₂ (Entity) in actions or behavior x₃ (nu, Event)
xenru	x₁ (Entity) regrets or rues abstraction x₂ (Abstraction)
xexso	x₁ (Entity) is 10^18 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
xindo	x₁ (Entity) reflects Hindi language or culture or religion in aspect x₂ (ka, Property of x₁)
xinmo	x₁ (Entity) is a quantity of ink of color or pigment x₂ (Entity) used by writing device x₃ (Entity)
xirma	x₁ (Organism) is a horse or equine of species or breed x₂ (Taxon)
xislu	x₁ (Entity) is a wheel tool of device or vehicle x₂ (Entity) made of materials or having properties x₃ (Entity)
xispo	x₁ (Entity) reflects Hispano-American culture or nationalities in aspect x₂ (ka, Property of x₁)
xlali	x₁ (Entity or nu, Event) is bad for x₂ (Entity) by standard x₃ (si'o, Standard)
xlura	x₁ (Entity) influences or lures or tempts x₂ (Entity) into action or state x₃ (ka, Property of x₂) by influence or threat or lure x₄ (Entity or Abstraction)
xotli	x₁ (Location) is a hotel or inn or hostel at location x₂ (Location) operated by x₃ (Entity)
xrabo	x₁ (Entity) reflects Arabic-speaking culture or nationality in aspect x₂ (ka, Property of x₁)
xrani	x₁ (nu, Event) injures or harms or damages victim x₂ (Entity) in property x₃ (ka, Property of x₂) resulting in injury x₄ (nu, State)
xriso	x₁ (Entity) pertains to the Christian religion or culture or nationality in aspect x₂ (ka, Property of x₁)
xruba	x₁ (Entity) is a quantity of buckwheat or rhubarb or sorrel grass of species or strain x₂ (Taxon)
xruki	x₁ (Organism) is a turkey bird or food of species or breed x₂ (Taxon)
xrula	x₁ (Entity) is a flower or blossom or bloom body-part of plant or species x₂ (Taxon or Organism)
xruti	x₁ (Entity) returns x₂ (Entity) to origin or earlier state x₃ (Location or nu, State) from x₄ (Location or nu, State)
xukmi	x₁ (Entity) is an instance of substance or chemical or drug x₂ (Group<Entity>) with purity x₃ (ni, Amount of x₃)
xunre	x₁ (Entity) is red or crimson or ruddy in color
xurdo	x₁ (Entity) reflects Urdu language or culture or nationality in aspect x₂ (ka, Property of x₁)
xusra	x₁ (Entity) asserts or claims or declares proposition x₂ (du'u, Proposition) is true
xutla	x₁ (Entity) is smooth or even or soft or silky in texture or regularity
zabna	x₁ (Entity) is favorable or great or superb or admirable or nice or desirable or enjoyable or high-quality in property x₂ (ka, Property of x₁) by standard x₃ (si'o, Standard)
zajba	x₁ (Entity) is a gymnast at or performs gymnastics feat x₂ (nu, Event)
zalvi	x₁ (Entity or Group<Entity>) grinds or pulverizes or crushes x₂ (Entity) into powder x₃ (Entity)
zanru	x₁ (Entity) approves of or gives favor to plan or action x₂ (Entity or nu, Event)
zarci	x₁ (Location) is a market or store or exchange or shop selling or trading for x₂ (Entity or Abstraction) operated by or with participants x₃ (Group<Entity>)
zargu	x₁ (Entity) is a buttock or arse or rear or seat body-part of x₂ (Organism)
zasni	x₁ (Entity) is temporary or not permanent or expected to change in property x₂ (ka, Property of x₁) by standard or expectant x₃ (si'o, Standard)
zasti	x₁ (Entity) exists or is real or actual or reality for x₂ (Entity) under metaphysics x₃ (Entity or Text)
zbabu	x₁ (Entity) is a quantity of or contains or is made of soap from source x₂ (Entity) of composition including x₃ (Entity)
zbani	x₁ (Location) is a bay in or of coast or shoreline x₂ (Location)
zbasu	x₁ (Entity) makes or assembles or builds or manufactures or creates x₂ (Entity) out of materials or parts or components x₃ (Entity or Set<Entity>)
zbepi	x₁ (Entity) is a pedestal or base or stand or pallet supporting x₂ (Entity or nu, Event) of materials or properties x₃ (Entity)
zdani	x₁ (Location) is a nest or house or lair or den or home of or for x₂ (Entity or Organism)
zdile	x₁ (Entity) is amusing or entertaining to x₂ (Entity) in property or aspect x₃ (ka, Property of x₁)
zekri	x₁ (nu, Event or State) is a punishable crime or taboo or sin to people or culture or judges or jury x₂ (Group<Entity> or Entity)
zenba	x₁ (Entity) increases or is incremented or augmented in property or quantity x₂ (ka, Property of x₁) by amount x₃ (ni, Amount of x₂)
zepti	x₁ (Entity) is 10^-21 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
zetro	x₁ (Entity) is 10^21 in property x₂ (ka, Property of x₁) in dimension x₃ (ka, Property of x₁)
zgana	x₁ (Entity) observes or notices or watches or beholds x₂ (Entity) using senses or means x₃ (Entity) under conditions x₄ (Entity)
zgike	x₁ (Entity) is music performed or produced by event x₂ (nu, Event)
zifre	x₁ (Entity) is free or at liberty to do or be x₂ (nu, Event or State) under conditions x₃ (nu, Event or State)
zinki	x₁ (Entity) is a quantity of or contains or is made of zinc of composition including x₂ (Entity)
zirpu	x₁ (Entity) is purple or violet in color
zivle	x₁ (Entity) invests resources x₂ (Entity) in investment x₃ (Entity) expecting return or profit x₄ (Entity or nu, Event)
zmadu	T: Entity. x₁ (T) exceeds or is more than x₂ (T) in property or quantity x₃ (ka, Property of x₁) by amount or excess x₄ (ni, Amount of x₃)
zmiku	x₁ (Entity) is automatic in function x₂ (nu, Event or Process) under conditions x₃ (nu, Event or State)
zukte	x₁ (Entity) is a volitional entity employing means or taking action x₂ (ka, Property of x₁) for purpose or goal x₃ (nu, Event)
zumri	x₁ (Entity) is a quantity of maize or corn grain of species or strain x₂ (Taxon)
zungi	x₁ (Entity) feels guilt or remorse about abstraction x₂ (Abstraction)
zunle	x₁ (Entity) is to the left or left-hand side of x₂ (Entity) which faces in frame of reference x₃ (Entity)
zunti	x₁ (nu, Event or State or Process) interferes with or hinders or disrupts x₂ (nu, Event or State or Process) due to quality x₃ (ka, Property of x₁)
zutse	x₁ (Entity) sits on surface x₂ (Entity)
zvati	x₁ (Entity or nu, Event) is at or attending or present at event or location x₂ (Location or nu, Event)
