lojbo	lojbo gi'e nu'o bredi	glico
ni'o .o'o cu'i xamgu fa lo nu cusku «lu ko mi pinxe li'u» .i ku'i la .alis. noi prije cu na ba zi zukte la'e ba'e di'u .i «lu na go'i .i pa mai mi catlu –sei .abu cusku– gi'e facki lo du'u xu kau se tcita zo vindu li'u» .i .abu pu tcidu so'o melbi ke cmalu lisri be lo verba poi jelca se xrani gi'a se citka lo cilce danlu gi'a lifri lo drata tolpluka ki'u lo nu na ba'e morji lo sampu javni poi lo pendo cu ctuca zi'e no'u mu'a lo nu lo xunre glare tunta cu jelca xrani lo za'o jgari be ty zi'e no'u mu'a lo nu lo degji va'o lo nu condi ba'e mutce se sraku se pi'o lo dakfu cu ta'e ciblu cirko .i .abu cu no roi tolmorji lo du'u lo nu da dukse lo ka pinxe lo se botpi be lo se tcita be zo vindu cu ba zi ja ba zu fanza da	ni'o .o'ocu'i xamgu fa lenu cusku lu ko mi pinxe li'u .i ku'i la .alis. noi prije cu na platu fi lonu ri bazi zukte la'e ba'e di'u .i lu .ainai .i .ai pa mai mi catlu to'isa'a la .alis. cu cusku toi gi'e facki ledu'u xu kau ru se tcita zo vindu li'u .i la .alis. pu tcidu le so'o vreji be lo melbi ke cmalu lisri be le verba voi se xrani tu'a loi fagri gi'a se citka le cilce danlu gi'a lifri le drata rigni vau fa ke'a ki'u lonu ke'a na ba'e morji le sampu javni voi le pendo be ke'a cu ctuca ke'a zi'e noi mu'a du ledu'u lo'e xunre glare tunta cu fagri jai xrani lo'e za'o jgari be ri zi'e noi mu'a du ledu'u nu lo'e degji va'o lonu ri ba'e mutce leka condi leka se sraku lo'e dakfu cu ta'e vikmi loi ciblu .i la .alis. noroi co'u morji ledu'u lo'e prenu ganai pinxe lo'e du'e se botpi be lo se tcita be zo vindu gi bazi ja bazu se fanza	It was all very well to say 'Drink me,' but the wise little Alice was not going to do THAT in a hurry. 'No, I'll look first,' she said, 'and see whether it's marked "poison" or not'; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they WOULD not remember the simple rules their friends had taught them: such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger VERY deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked 'poison,' it is almost certain to disagree with you, sooner or later.
ni'o ku'i lo vi botpi na se tcita zo vindu .i se ki'u bo la .alis. cu darsi lo nu vu'irga'e lo selvau .i .abu facki lo du'u pluka (to je'u vrusi lo mixre be lo rutrceraso tisna jo'u lo sovykruji jo'u lo bromeli jo'u lo seljukpa xukre'u jo'u lo satmatne jo'u lo glare ke matne jelnanba toi) .i .abu zi mo'u pinxe	ni'o ku'i ti voi botpi cu na se tcita zo vindu .iseki'ubo la .alis. cu darsi leka jai zu'e ganse le se vasru .ije le go'i fau lenu ri facki ledu'u pluka (to je'u vrusi lo mixre be lo tisna be loi rutrceraso be'o jo'u lo kruji be loi sovda be'o jo'u lo grutrxananase jo'u lo se jukpa xruki jo'u lo sakta matne jo'u lo glare ke nanba poi kansa lo matne toi) cu zi mo'u pinxe	However, this bottle was NOT marked 'poison,' so Alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off.
*    *    *    *    *    *    *	* * * * * * *	*  *  *  *  *  *  *
*    *    *    *    *    *	* * * * * *	*  *  *  *  *  *
*    *    *    *    *    *    *	* * * * * * *	*  *  *  *  *  *  *
ni'o «lu ue cizra selga'e –sei la .alis. cu cusku– .i ru'a ju'o mi se polje tai tu'a lo darvistci li'u»	ni'o lu .ue cizra se ganse li'u se cusku la .alis. fa lu .i ru'a ju'o mi ne tai lo darvistci ca'o se polje li'u	What a curious feeling!' said Alice; 'I must be shutting up like a telescope.'
ni'o ca'a co'e .i ca ku .abu centre li so'u re mu .i lo flira be .abu cu cambi'o se ja'e lo nu pensi lo nu ca ku .abu mapti lo cmalu vorme lo ka pagre fi lo melbi purdi .i ku'i pa mai .abu denpa lo nu zgana lo du'u xu kau za'o brajdika .i .abu milxe lo ka xanka la'e di'u .i «lu cumki fa lo nu se fanmo –sei la .alis. cu sezysku– lo nu mi mo'u canci tai tu'a lo lakyga'a fagri .i mi kucli lo du'u mi ma kau simsa va'o da'i la'e di'u li'u» .i .abu troci lo nu se xanri lo du'u lo lakyga'a fagri ma kau simsa ba lo nu lo lakyga'a cu se gusydicra .i ku'i na ka'e morji lo nu viska lo tai dacti	ni'o ca'a co'e .i la .alis. ca mitre li pi so'u re mu .i je lo flira be la .alis. co'a carmi ri'a lo nu ri pensi lo nu ri ca mapti lo cmalu vorme lo ka pagre fi lo melbi purdi .i ku'i pa mai la .alis. cu denpa ze'a lo mintu be li so'o lo ka zgana lo du'u xu kau za'o jdika lo ka barda .i la .alis. cu milxe lo ka xanka la'e di'u .i fe lu cumki fa lo nu se fanmo –li'u fa la .alis. cu cusku fi lo nei fe lu lo nu mi ne tai lo lakse je se fagri grana mo'u canci .i mi kucli lo du'u mi ma kau simsa fau da'i la'e di'u li'u .i la .alis. cu troci lo ka se xanri lo du'u lo fagri be lo lakse ma kau simsa ba lo nu lo lakse grana mo'u se xaksu .i ku'i na ka'e morji lo ka viska lo tai dacti	And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden. First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; 'for it might end, you know,' said Alice to herself, 'in my going out altogether, like a candle. I wonder what I should be like then?' And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.
ni'o ba za ku .abu ca lo nu facki lo du'u no drata cu fasnu cu jdice lo nu zi klama lo purdi .i ku'i la .alis. uu ca lo nu tolcliva lo vorme cu facki lo du'u .abu tolmorji tu'a lo cmalu ke solji ckiku .i ca lo nu ba'o xruti lo jubme te zu'e lo nu cpacu cy cu facki lo du'u lo ni .abu galtu cu na banzu lo nu cpacu cy .i .abu viska cy fi'o klina lo blaci .i .abu traji troci lo nu cpare pa lo tuple be lo jubme .i ku'i ty dukse lo ka se sakli .i .abu uu ca lo nu tatpi lo nu troci cu zutse gi'e klaku	ni'o ba za ku la .alis. ca lo ka facki lo du'u no drata cu fasnu cu cuxna lo ka zi klama lo purdi .i ku'i ke .uu la .alis. ca lo ka tsuku lo vorme cu facki lo ka pu co'u morji tu'a lo cmalu ke solji ckiku .i ca lo ka di'a tsuku lo jubme te zu'e lo ka cpacu le ckiku cu facki lo ka na ka'e cpacu ri .i la .alis. cu viska le ckiku ne pa'o lo blaci .i la .alis. se rai troci lo ka cpare pa lo tuple be lo jubme .i ku'i le tuple pu du'e va'e lo ka se sakli .i ke .uu la .alis. ca lo ka tatpi lo ka troci co'a ku zutse gi'e klaku	After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice! when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.
ni'o «lu .e'e no da do prali lo nu tai klaku –sei la .alis. cu kinli sezysku– .i .e'u ko ca zi sisti li'u» .i .abu ta'e sezystidi lo xamgu mutce (to ku'i ta'e nai mapti zukte toi) gi'e su'o roi tai junri sezytolzarsku ja'e lo nu gasnu lo nu lo se klaku cu zvati lo kanla .i .abu morji lo nu pa roi troci lo nu darxi lo kerlo be .abu kei mu'i lo nu .abu tcica .abu ca lo nu .abu fapro .abu lo nu kelcrkroke .i lo vi cizra verba cu mutce lo ka nelci lo nu sruma lo du'u du lo re prenu .i «lu ku'i no da mi ca prali –sei la .alis. uu cu pensi– lo nu sruma lo du'u mi du lo re prenu .i .oi lo ve vimcu be fi mi na banzu lo nu marji fi lo ba'e pa se sinma prenu li'u»	ni'o fe lu .e'e no da do prali lo nu tai klaku –li'u fa la .alis. cu kinli cusku fi lo nei fe lu .i .e'u sai do ca zi sisti li'u .i la .alis. ta'e stidi lo xamgu mutce ne xau lo no'a (to ku'i so'u roi mapti zukte toi) gi'e su'o roi tai junri to'e zanru lo nei ja'e lo ka gasnu lo nu lo se klaku cu zvati lo kanla .i la .alis. cu morji lo ka pa roi troci lo ka darxi lo kerlo be lo no'a vau mu'i lo ka jai tcica lo nei ca lo ka jivna lo nei lo ka krokete .i lo vi cizra verba cu mutce lo ka nelci lo ka sruma lo ka du lo re prenu .i lu ku'i no da mi ca prali –li'u ke .uu la .alis. cu se pensi– fa lu lo ka sruma lo ka du lo re prenu .i .oi lo ve vimcu be fi mi na jai banzu lo ka marji fi lo ba'e pa se sinma prenu li'u	Come, there's no use in crying like that!' said Alice to herself, rather sharply; 'I advise you to leave off this minute!' She generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people. 'But it's no use now,' thought poor Alice, 'to pretend to be two people! Why, there's hardly enough of me left to make ONE respectable person!'
ni'o lo nu .abu catlu cu ba zi se farna lo cmalu ke blaci tanxe noi cnita lo jubme .i .abu kargau ty gi'e facki lo du'u nenri ty fa lo cmalu mutce titnanba noi bu'u ke'a lo valsi po'u «lu KO MI CITKA li'u» se morna lo sudjba .i «lu .ai mi ti citka –sei la .alis. cu cusku– .i mi va'o lo nu da'i gau ti mi braze'a cu snada lo nu cpacu lo ckiku .i mi va'o lo nu da'i gau ti mi cmaze'a cu kakne lo nu reskla ni'a lo vrogai .i se ki'u bo mi va'o ro fasnu cu kakne lo nu klama lo purdi .i na vajni mi fa lo du'u ma kau ca'a fasnu li'u»	ni'o ba zi ku la .alis. co'i zgana lo cmalu ke blaci tanxe noi cnita le jubme .i la .alis. cu jai gau kalri fai le tanxe gi'e facki lo du'u nenri ri fa lo mutce cmalu titnanba noi bu'u ke'a lo valsi poi du lu ko mi citka li'u cu se morna lo sudga jbari .i lu .ai mi ti citka li'u se cusku la .alis. fa lu .i mi fau lo nu da'i gau ti mi zenba lo ka barda cu snada lo ka cpacu le ckiku .i je mi fau lo nu da'i gau ti mi zenba lo ka cmalu cu kakne lo ka respa muvdu ni'a lo vorme gacri .i se ki'u bo mi va'o ro fasnu cu kakne lo ka klama lo purdi .i na vajni mi fa lo du'u lo me ma kau ca'a fasnu li'u	Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words 'EAT ME' were beautifully marked in currants. 'Well, I'll eat it,' said Alice, 'and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!'
ni'o .abu citka lo spisa gi'e xanka sezysku «lu fa'a ma .i fa'a ma li'u» gi'e punji lo xance lo cpana be lo stedu te zu'e lo nu ganse lo nu sy banro fa'a ma kau .i .abu mutce lo ka spaji lo nu facki lo du'u .abu stodi lo ka barda .i li'a la'e di'u ta'e fasnu ca lo nu citka lo titnanba .i ku'i la .alis. tai se tcaci lo nu kanpe lo nu no na'e tolfadni cu fasnu .i ja'e bo simlu lo ka tolzdile gi'e bebna kei fa lo nu lo nunjmive cu ca'o fadni	ni'o .abu citka lo spisa gi'e xanka cusku fi lo nei fe lu fa'a ma .i fa'a ma li'u gi'e punji lo xance lo cpana be lo stedu te zu'e lo ka ganse lo nu le stedu cu banro fa'a ma kau .i la .alis. cu mutce lo ka spaji lo ka facki lo ka stodi lo ka barda .i li'a la'e di'u ta'e fasnu ca lo nu citka lo titnanba .i ku'i la .alis. tai se tcaci lo ka kanpe lo nu no na'e to'e fadni cu fasnu .i ja'e bo simlu lo ka to'e zdile gi'e fenki vau fa lo nu lo nu renvi ca'o fadni	She ate a little bit, and said anxiously to herself, 'Which way? Which way?', holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.
ni'o .abu co'a batci gi'e ba zi mo'u citka lo titnanba	ni'o la .alis. co'a batci gi'e ba zi mo'u citka le titnanba	So she set to work, and very soon finished off the cake.
*    *    *    *    *    *    *	* * * * * * *	*  *  *  *  *  *  *
*    *    *    *    *    *	* * * * * *	*  *  *  *  *  *
*    *    *    *    *    *    *	* * * * * * *	*  *  *  *  *  *  *
ni'o ni'o re mo'o lo se klaku lalxu	ni'o ni'o re mo'o lo se klaku lalxu	CHAPTER II. The Pool of Tears
ni'o «lu cizra je ci'izra –sei la .alis. cu krixa (to .abu tai se spaji ja'e lo nu ze'a tolmorji lo nu ta'i ma kau tavla bau lo drani lojbo toi)– .i ca ku mi se tolplo tai tu'a lo brarai darvistci .i co'o jamfu (to sa'a lo jamfu ca'o binxo lo tai darno ja'e lo nu jy jibni fi'o te simlu .abu lo na ka'e se viska toi) .i uu doi cmalu jamfu ma do ba dasygau lo cutci jo'u lo smoka doi dirba .i ju'o mi na ba ka'e go'i .i mi ba mutce dukse lo ka darno do kei lo nu kurji do .i ko renvi ta'i lo do xagrai selka'e .i ku'i .ei mi jy xendo –sei la .alis. cu pensi– .i va'o da'i na'e bo la'e di'u ju'o cu'i jy na cadzu ve ka'a lo mi se djica .i ua .ai mi dunda ca ro xisyjbenunsla lo cnino cutci re mei li'u»	ni'o lu cizra je ci'izra –li'u la .alis. cu se krixa (to ri tai se spaji .i ja'e bo ri ze'a na morji lo ka ta'i ma kau tavla bau lo drani lojbo toi)– fa lu .i ca ku mi ne tai lo darvistci poi se rai barda ca'o se to'e polje .i co'o lo jamfu li'u (to .i ca lo nu la .alis. cu catlu lo jamfu vau ri simlu lo ka na ka'e se viska ne ri'a lo nu tai darno toi). fa lu .i .uu doi loi cmalu jamfu ma fai do ba jai gau dasni lo cutci ce lo smoka doi loi dirba .i ju'o mi na ba ka'e go'i .i mi ba du'e sai va'e lo ka darno do vau lo ka kurji do .i ko renvi ta'i lo rai se kakne be do .i ku'i .ei mi xendo le jamfu li'u se pensi la .alis. fa lu .i ju'o cu'i va'o da'i na'e la'e di'u le jamfu na cadzu lo jai se djica be mi .i .ua .ai mi dunda ca ro censa te salci lo cnino cutci re mei li'u	Curiouser and curiouser!' cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English); 'now I'm opening out like the largest telescope that ever was! Good-bye, feet!' (for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off). 'Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears? I'm sure I shan't be able! I shall be a great deal too far off to trouble myself about you: you must manage the best way you can;—but I must be kind to them,' thought Alice, 'or perhaps they won't walk the way I want to go! Let me see: I'll give them a new pair of boots every Christmas.'
ni'o .abu ca'o platu lo nu co'e ta'i ma kau .i «lu .ei lo cutci cu se mrilu –sei .abu pensi– .i ba xajmi fa lo nu da benji lo seldu'a lo jamfu be da .i ua lo judri ba simlu lo ka cizra .i «lu	ni'o la .alis. ca'o platu lo ka da'i ta'i ma kau .i lu .ei lo cutci cu se mrilu –li'u se pensi la .alis. fa lu .i ba xajmi fa lo nu da benji lo se dunda lo jamfu be da .i .ua lo judri ba simlu lo ka cizra .i lu	And she went on planning to herself how she would manage it. 'They must go by the carrier,' she thought; 'and how funny it'll seem, sending presents to one's own feet! And how odd the directions will look!
la selsi'a ke pritu jamfu be la .alis.	lo se sinma ke pritu jamfu be la .alis.	ALICE'S RIGHT FOOT, ESQ.
bu'u la fagzda lolgai	bu'u lo matci	HEARTHRUG,
ne'a lo fagju'e	ne'a lo fagrystu julne	NEAR THE FENDER,
(to la .alis. cu prami benji toi)	(to mu'o .iu be'i la .alis. toi)	(WITH ALICE'S LOVE).
li'u» .i ue mi bebna tavla li'u»	li'u .i .ue se'i mi tavla lo bebna sai li'u	Oh dear, what nonsense I'm talking!'
ni'o ca ku lo stedu be .abu cu janli lo drudi be lo kumfa .i je'u .abu ca mitre li za'u re pi mu .i .abu ze'i lebna lo cmalu ke solji ckiku gi'e sutra klama lo purdi vorme	ni'o ba zi ku lo stedu be la .alis. cu janli lo drudi be lo kumfa .i je'u la .alis. ca mitre li za'u re pi mu .i la .alis. ze'i lebna lo cmalu ke solji ckiku gi'e sutra klama lo purdi vorme	Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.
ni'o la .alis. uu zo'u: lo nu mlana vreta gi'e catlu lo purdi se pi'o pa kanla cu jimte lo se zukte lo ka .abu kakne ce'u .i lo nu pagre cu nalcumki traji .i .abu zutse gi'e za'u re'u co'a klaku	ni'o ke .uu la .alis. zo'u: lo ka mlana vreta gi'e catlu lo purdi se pi'o lo pa kanla cu jimte lo se zukte lo ka la .alis. cu kakne ce'u .i lo nu pagre co'a traji fi lo ka pu na cumki .i la .alis. za'ure'u co'a co'a ku zutse gi'e klaku	Poor Alice! It was as much as she could do, lying down on one side, to look through into the garden with one eye; but to get through was more hopeless than ever: she sat down and began to cry again.
ni'o «lu .ei do ckeji –sei la .alis. cu cusku– .i do barda nixli (to sa'a ju'o drani toi) .i .i'e nai ca'o tai klaku .i le'o ko ca sisti li'u» .i ku'i .abu za'o klaku lo litce be li so'i ja'e lo nu .abu se sruri lo barda lalxu noi centre li ji'i pa no lo ka condi kei gi'e preja lo xadba be lo kumfa	ni'o lu .ei do ckeji li'u se cusku la .alis. fa lu .i do barda nixli li'u sei ju'o drani fa lu .i .i'e nai ca'o tai klaku .i le'o ko ca sisti li'u .i ku'i la .alis. za'o klaku lo litce be li so'i .i ja'e bo la .alis. cu se sruri lo barda lalxu noi mitre li ji'i pi pa no lo ka condi vau vau gi'e preja lo xadba be lo kumfa	You ought to be ashamed of yourself,' said Alice, 'a great girl like you,' (she might well say this), 'to go on crying in this way! Stop this moment, I tell you!' But she went on all the same, shedding gallons of tears, until there was a large pool all round her, about four inches deep and reaching half down the hall.
